,agency_ambiguous,agency_anthropogenic,agency_nonanthropogenic,agency_unknown,alteration_fauna,alteration_flora,alteration_human_bodies,alteration_weather,antisocial_into_prosocial,authoritarianism_ableist,authoritarianism_ageism,authoritarianism_cultural,authoritarianism_gynocentric,authoritarianism_health,authoritarianism_language,authoritarianism_market,authoritarianism_racism,authoritarianism_religion,authoritarianism_reproduction,authoritarianism_social,authoritarianism_technological,censorship,conflict_economic,conflict_information,conflict_interpolity,conflict_intrapolity,depletion_biosphere,depletion_fossil_fuels,depletion_water,event_subversion,event_war,familism,government_confessional,government_corporate,government_degradation,government_military,government_nonhuman,government_oligarchical,isolationism_social,kernel_extrasocietal,kernel_inconclusive,kernel_intrasocietal,kernel_natural,kernel_nonspecified,ontological_alteration,pollution_biosphere,pollution_land,pollution_orbital,pollution_radiation,pollution_water_bodies,population_decline,prosocial_into_antisocial,scale_continental,scale_local,scale_multiplanetary,scale_multiversal,scale_nonspecified,scale_planetary,scale_universal,scale_unknown,segregationism_sexual,segregationism_social,type_environmental,type_metaphysical,type_subversion,type_war,use_of_force_civilians
agency_ambiguous,25,0,0,0,5,0,4,2,0,0,0,1,0,0,0,1,0,0,0,2,3,8,0,6,0,0,2,0,0,0,0,0,0,0,9,1,1,0,0,2,9,10,3,1,0,1,1,0,0,0,5,12,3,6,0,1,0,15,0,0,1,9,7,5,9,4,1
agency_anthropogenic,0,205,0,0,19,7,35,3,7,2,2,2,2,2,1,5,2,1,1,6,25,88,7,39,2,13,17,4,0,4,1,18,3,7,47,17,6,1,7,13,18,168,3,3,8,3,10,1,3,2,32,71,11,69,8,11,0,104,2,0,13,45,33,21,100,46,43
agency_nonanthropogenic,0,0,40,0,4,3,6,0,2,0,0,0,3,1,0,0,2,0,3,0,1,9,2,2,1,3,5,0,1,0,0,1,1,1,15,8,1,0,2,11,1,6,21,1,1,0,0,0,0,0,5,17,1,8,0,0,0,31,0,0,6,9,18,3,14,5,5
agency_unknown,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,1,0,2,0,0,0,0,0,3,0,0,2,0,1,0,0,1,1,2,0,4,1,0,1,1,0,0,2,0,0,2,0,0,2,3,0,1,0,2,2,0,5,1,1
alteration_fauna,5,19,4,0,28,3,3,0,2,0,0,1,0,0,0,0,0,0,0,2,0,4,0,1,0,1,4,0,0,0,0,1,2,0,14,2,1,0,0,1,7,14,5,1,1,0,1,0,0,0,5,6,1,4,2,2,0,18,1,0,0,6,4,6,10,8,1
alteration_flora,0,7,3,0,3,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,1,2,3,4,0,1,0,1,0,0,0,2,3,0,2,0,0,0,8,0,0,0,0,5,0,1,4,0
alteration_human_bodies,4,35,6,0,3,1,45,0,1,0,0,1,1,1,0,0,0,0,0,0,6,14,1,8,1,7,6,0,0,1,0,0,0,1,9,5,2,0,1,3,8,31,3,0,0,1,1,0,1,0,4,9,2,7,1,5,0,30,0,0,0,4,8,6,16,14,4
alteration_weather,2,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3,0,0,0,1,2,1,1,1,0
antisocial_into_prosocial,0,7,2,0,2,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,1,1,0,1,2,1,4,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,5,0,2,2,0
authoritarianism_ableist,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1
authoritarianism_ageism,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
authoritarianism_cultural,1,2,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,1,1,0,0
authoritarianism_gynocentric,0,2,3,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,4,0,1,1,4,0,1
authoritarianism_health,0,2,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,3,0,0,3,0,0
authoritarianism_language,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
authoritarianism_market,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,1,2,1,0,5,0,0
authoritarianism_racism,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,3,1,0,1,2,2
authoritarianism_religion,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
authoritarianism_reproduction,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,1,1,2,1,2,0,0
authoritarianism_social,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,5,1,0,0,1,0,0,0,0,0,2,1,5,0,0,0,2,0,0,0,3,1,2,2,3,2
authoritarianism_technological,3,25,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,0,6,1,2,1,0,0,0,0,0,0,0,2,0,0,1,0,3,2,24,0,0,1,0,4,0,0,0,4,3,1,7,0,2,0,19,0,0,0,7,3,3,17,6,6
censorship,8,88,9,4,4,1,14,0,0,0,2,0,2,1,1,4,1,1,3,3,13,109,2,21,1,3,1,0,0,2,1,14,1,3,12,6,6,0,1,11,7,85,3,3,5,1,2,2,0,0,10,28,3,45,3,6,2,50,0,0,11,24,12,10,70,14,18
conflict_economic,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,7,1,0,0,1,2,0,0,0,0,5,1,2,1,0,0,5,0,0,0,3,2,0,4,3,1
conflict_information,6,39,2,1,1,0,8,2,0,1,0,0,0,0,0,3,0,0,1,2,6,21,0,48,0,0,0,0,0,2,0,2,0,0,5,1,2,0,0,6,8,32,0,2,3,2,3,0,0,0,0,14,2,16,1,3,1,25,0,0,1,10,5,3,28,10,9
conflict_interpolity,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,1,2
conflict_intrapolity,0,13,3,2,1,1,7,0,0,0,0,1,0,0,0,0,1,0,0,0,2,3,0,0,0,18,0,0,0,0,0,2,0,0,6,0,0,0,0,1,1,12,2,2,0,0,1,0,0,0,5,2,0,2,1,2,0,12,0,1,0,2,5,3,2,8,4
depletion_biosphere,2,17,5,0,4,1,6,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,24,0,0,0,0,1,0,0,8,0,1,0,3,0,4,15,5,0,0,0,0,0,0,0,4,10,2,3,2,0,0,16,1,0,0,4,12,2,8,2,0
depletion_fossil_fuels,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,2,1
depletion_water,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
event_subversion,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,1,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1
event_war,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
familism,0,18,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,14,1,2,0,2,1,0,0,1,0,22,0,0,2,0,0,0,0,2,1,18,0,1,0,0,0,0,0,0,0,3,0,12,2,0,0,8,0,0,9,3,1,0,16,4,6
government_confessional,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,0,0,0,0,4,0,0,0
government_corporate,0,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,1,1,4,1,2,1,0,0,4,0,0,0,1,5,0,2,1,3
government_degradation,9,47,15,2,14,6,9,3,6,0,0,0,1,0,0,0,0,0,0,1,2,12,1,5,0,6,8,2,1,1,0,2,0,0,73,0,0,0,6,7,9,40,13,4,4,1,0,0,1,1,16,31,1,20,2,2,0,47,0,1,2,9,23,8,26,15,1
government_military,1,17,8,0,2,2,5,0,1,0,2,0,1,1,0,0,1,0,0,1,0,6,0,1,1,0,0,2,0,1,0,0,0,0,0,26,0,0,0,3,4,14,5,0,0,0,0,0,2,0,4,6,2,3,0,0,0,21,0,0,1,7,10,4,3,8,9
government_nonhuman,1,6,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,2,2,5,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,6,0,0,0,1,1,2,5,1,0
government_oligarchical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
isolationism_social,0,7,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,6,0,1,0,9,0,1,7,1,0,0,0,0,0,0,0,0,3,1,4,0,0,0,4,0,0,1,0,5,0,4,0,0
kernel_extrasocietal,2,13,11,1,1,1,3,0,2,0,0,1,1,0,0,0,1,1,1,2,3,11,1,6,0,1,0,2,1,1,0,2,0,0,7,3,2,0,0,27,0,0,0,0,2,2,0,0,1,0,2,10,1,8,2,0,0,16,0,0,2,7,1,2,12,11,3
kernel_inconclusive,9,18,1,1,7,2,8,2,1,0,0,1,0,1,0,1,0,0,0,0,2,7,0,8,0,1,4,0,0,0,0,1,0,0,9,4,2,0,1,0,29,0,0,0,2,0,3,0,1,0,1,11,1,3,0,0,0,25,0,0,1,7,10,1,9,9,3
kernel_intrasocietal,10,168,6,2,14,3,31,3,4,2,2,1,2,2,1,5,2,1,3,5,24,85,7,32,2,12,15,2,0,3,1,18,3,6,40,14,5,1,7,0,0,186,0,0,5,2,8,1,1,2,33,65,11,68,6,11,0,88,2,0,13,45,28,23,96,35,38
