,agency_ambiguous,agency_anthropogenic,agency_nonanthropogenic,agency_unknown,alteration_fauna,alteration_flora,alteration_human_bodies,alteration_weather,antisocial_into_prosocial,authoritarianism_androcentrism,authoritarianism_cultural,authoritarianism_gynocentric,authoritarianism_language,authoritarianism_market,authoritarianism_religion,authoritarianism_reproduction,authoritarianism_social,authoritarianism_technological,censorship,conflict_economic,conflict_information,conflict_interpolity,conflict_intrapolity,depletion_biosphere,depletion_fossil_fuels,depletion_water,eschatological_alteration,familism,government_confessional,government_corporate,government_degradation,government_military,government_nonhuman,government_oligarchical,kernel_extrasocietal,kernel_inconclusive,kernel_intrasocietal,kernel_natural,kernel_nonspecified,ontological_alteration,pollution_biosphere,pollution_land,pollution_radiation,population_decline,prosocial_into_antisocial,scale_continental,scale_local,scale_multiplanetary,scale_nonspecified,scale_planetary,segregationism_sexual,segregationism_social,type_environmental,type_metaphysical,type_subversion,type_war,use_of_force_civilians,wmd_use_chemical,wmd_use_nuclear
agency_ambiguous,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,3,3,0,0,0,0,2,1,0,0,1,2,0,0,0,3,0,0,0,0,3,0,3,2,0,1,0,2,0,0
agency_anthropogenic,0,87,0,0,5,5,22,21,4,0,1,5,2,6,0,6,20,15,11,16,49,9,39,18,1,4,6,30,1,28,77,4,5,7,7,10,65,3,2,12,7,4,1,51,85,7,25,1,0,54,8,69,28,4,38,17,32,1,5
agency_nonanthropogenic,0,0,21,0,0,0,6,3,0,0,1,0,0,0,0,2,1,0,2,1,16,0,17,1,0,0,1,8,1,3,19,1,0,0,3,0,4,13,1,10,0,0,0,16,21,0,4,0,0,17,6,12,10,3,8,0,9,0,0
agency_unknown,0,0,0,4,0,0,0,0,0,1,0,1,0,1,1,0,2,1,2,0,2,0,2,0,0,0,0,0,0,2,4,0,0,0,1,0,1,0,2,1,1,0,0,0,4,0,1,0,2,1,2,2,1,0,3,0,2,0,0
alteration_fauna,0,5,0,0,5,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,2,2,0,3,0,0,4,1,0,0,4,1,1,1,5,4,0,0,0,0,5,0,1,1,0,0,4,1,0,4
alteration_flora,0,5,0,0,5,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,2,2,0,3,0,0,4,1,0,0,4,1,1,1,5,4,0,0,0,0,5,0,1,1,0,0,4,1,0,4
alteration_human_bodies,3,22,6,0,5,5,31,1,4,0,1,0,0,4,0,0,1,10,0,4,21,3,16,1,0,0,6,3,0,18,26,1,5,1,2,7,18,4,0,13,4,1,1,15,29,1,3,1,0,26,1,23,8,1,18,4,10,0,5
alteration_weather,0,21,3,0,0,0,1,24,0,0,0,0,0,0,0,0,1,2,0,9,6,2,8,17,0,3,1,12,0,5,21,1,0,1,1,2,15,4,2,2,3,0,0,20,24,4,6,0,0,14,0,21,18,0,5,1,3,0,0
antisocial_into_prosocial,0,4,0,0,3,3,4,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,4,0,1,3,0,0,0,4,0,0,0,3,3,0,0,1,0,3,0,1,0,0,1,3,0,0,3
authoritarianism_androcentrism,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
