,agency_ambiguous,agency_anthropogenic,agency_non-anthropogenic,agency_nonanthropogenic,agency_unknown,alteration_fauna,alteration_flora,alteration_human_bodies,alteration_weather,antisocial_into_prosocial,authoritarianism_androcentrism,authoritarianism_cultural,authoritarianism_gynocentric,authoritarianism_language,authoritarianism_market,authoritarianism_religion,authoritarianism_reproduction,authoritarianism_social,authoritarianism_technological,censorship,conflict_economic,conflict_information,conflict_interpolity,conflict_intrapolity,depletion_biosphere,depletion_fossil_fuels,depletion_water,eschatological_alteration,event_subversion,event_war,familism,government_confessional,government_corporate,government_degradation,government_military,government_nonhuman,government_oligarchical,kernel_ intrasocietal,kernel_extrasocietal,kernel_inconclusive,kernel_intra-societal,kernel_intrasocietal,kernel_natural,kernel_non-specified,kernel_nonspecified,ontological_alteration,pollution_biosphere,pollution_land,pollution_radiation,population_decline,prosocial_into_antisocial,scale_continental,scale_local,scale_multi-planetary,scale_multi-versal,scale_multiplanetary,scale_multiversal,scale_nonspecified,scale_planetary,scale_universal,scale_unknown,segregationism_sexual,segregationism_social,type_environmental,type_metaphysical,type_subversion,type_war,use_of_force_civilians,wmd_use_chemical,wmd_use_nuclear
scale_planetary,15,105,6,25,3,9,6,50,24,4,0,4,3,2,10,0,5,21,23,15,14,93,28,86,20,1,1,9,1,0,33,1,43,137,11,11,3,4,16,25,0,85,20,1,3,49,11,8,1,102,152,0,0,0,0,0,0,0,154,0,0,13,115,44,10,59,40,52,1,7
scale_universal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,2,0,0
scale_unknown,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
segregationism_sexual,1,13,0,7,2,0,0,1,0,0,1,1,6,0,0,1,10,16,0,13,1,13,0,5,0,0,0,0,1,0,5,2,1,23,0,0,1,0,3,2,0,13,4,0,1,5,0,0,0,7,23,0,10,0,0,0,0,0,13,0,0,23,0,4,2,15,1,19,0,0
segregationism_social,24,158,7,23,5,2,2,52,33,2,1,15,1,2,10,4,1,35,41,9,22,146,24,127,28,0,4,6,3,0,53,1,52,189,8,17,14,3,21,23,5,136,22,1,6,74,9,1,1,145,215,15,68,3,2,4,6,2,115,2,0,0,217,49,23,103,39,60,0,4
type_environmental,7,33,3,15,2,1,2,11,24,0,1,2,0,2,1,1,1,8,5,4,10,30,5,28,18,1,3,3,0,0,25,0,10,56,4,0,2,0,1,10,0,28,18,1,2,15,6,3,0,48,59,4,10,0,0,1,0,0,44,0,1,4,49,60,0,0,0,18,1,1
type_metaphysical,5,22,0,3,0,0,1,7,0,1,0,3,0,0,0,4,1,0,5,1,0,17,12,21,0,0,0,1,0,0,2,1,2,22,0,7,2,0,2,1,1,23,1,0,2,23,2,0,0,26,29,2,4,1,2,0,10,0,10,1,0,2,23,0,30,0,0,8,0,1
type_subversion,9,100,2,12,5,0,0,36,11,1,0,6,7,0,11,0,9,39,28,18,12,97,8,64,11,0,1,2,0,0,23,2,39,118,2,6,8,3,12,9,4,89,8,0,3,37,4,0,0,60,126,5,58,2,0,1,0,2,59,1,0,15,103,0,0,128,0,47,0,1
type_war,4,46,2,3,1,8,4,14,4,3,1,5,0,0,2,0,0,7,4,3,3,29,19,38,5,0,0,4,0,0,9,0,10,44,9,7,2,4,11,9,0,31,0,1,0,21,4,5,1,47,56,4,10,0,0,2,0,0,40,0,0,1,39,0,0,0,56,21,0,4
use_of_force_civilians,7,73,2,14,2,2,1,21,3,0,2,0,7,2,6,1,10,49,13,25,5,61,18,56,1,1,1,1,3,1,8,2,16,94,15,0,12,2,10,11,4,58,11,0,2,10,4,3,1,47,98,7,36,0,0,1,0,0,52,2,0,19,60,18,8,47,21,98,1,2
wmd_use_chemical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
wmd_use_nuclear,0,7,0,0,0,4,4,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,6,0,0,0,0,1,4,0,3,1,0,0,4,0,3,0,0,0,4,0,1,1,7,7,0,0,0,0,0,0,0,7,0,0,0,4,1,1,1,4,2,0,7
